No,Module,Page,Sub-Page,Session,Field,Description,DataType,Mapping_Type,Mapping_APIs_Database_Table,Mapping_Field_Name,Sample_Value,Remark
1,Inventory Management,Inventory Availability,Header,KPI Cards,Total Products,Total number of products across all stores,INT,Logic,pim_master_product_base_info,COUNT(*),24,Aggregated count from all locations
2,Inventory Management,Inventory Availability,Header,KPI Cards,Low Stock,Number of products with stock below safety threshold,INT,Logic,inv_master_stock,COUNT(WHERE stock_on_hand < safety_stock),0,Needs attention - below safety stock
3,Inventory Management,Inventory Availability,Header,KPI Cards,Out of Stock,Number of products with zero stock,INT,Logic,inv_master_stock,COUNT(WHERE stock_on_hand = 0),0,Immediate attention required
4,Inventory Management,Inventory Availability,Filtering,View Selection,View Selector,Select organization/business unit to view,VARCHAR(255),Fixed value,"pim_master_org, inv_master_stock",org_id,"ECOM-TH-CFR-LOCD-STD, CFR - TOL Channel",Dropdown selector for organization
5,Inventory Management,Inventory Availability,Filtering,Search & Filters,Search Product Name,Search by product name,VARCHAR(256),Logic,pim_master_product_base_info,name_th LIKE OR name_en LIKE,Betagen Fermented,Multi-language search support
6,Inventory Management,Inventory Availability,Filtering,Search & Filters,Search Barcode,Search by product barcode,VARCHAR(13),Direct,inv_master_stock,item_id,885000000001,13-digit standard barcode
7,Inventory Management,Inventory Availability,Filtering,Search & Filters,Item Types Filter,Filter by item type (Packed/Weighed),VARCHAR(255),Fixed value,pim_master_product_base_info,is_sold_by_weight,"Pack, Weight, Pack Weight, Normal",Dropdown with predefined item types
8,Inventory Management,Inventory Availability,Filtering,Search & Filters,Stock Config Filter,Filter by stock configuration,VARCHAR(255),Direct,inv_master_stock,config,"In stock, Low stock, Out of stock",Stock configuration dropdown
9,Inventory Management,Inventory Availability,Filtering,Search & Filters,Brands Filter,Filter by brand,VARCHAR(255),Direct,pim_master_product_brand,brand_name,"Oishi, Tipco, Dutch Mill, Betagro",Dropdown with available brands
10,Inventory Management,Inventory Availability,Tabs,Tab Navigation,All Products Tab,View all products across inventory,VARCHAR(50),Fixed value,inv_master_stock,status,All,Shows all products regardless of stock
11,Inventory Management,Inventory Availability,Tabs,Tab Navigation,Low Stock Tab,View only low stock products,VARCHAR(50),Fixed value,inv_master_stock,status,Low Stock,Filters to stock_on_hand < safety_stock
12,Inventory Management,Inventory Availability,Tabs,Tab Navigation,Out of Stock Tab,View only out of stock products,VARCHAR(50),Fixed value,inv_master_stock,status,Out of Stock,Filters to stock_on_hand = 0
13,Inventory Management,Inventory Availability,Products Table,Column,Product Image,Product image thumbnail,VARCHAR(256),Direct,pim_master_product_base_info,image_url,https://cdn.example.com/product.jpg,Image URL for display
14,Inventory Management,Inventory Availability,Products Table,Column,Product Name,Product name in English/Thai,VARCHAR(256),Direct,pim_master_product_base_info,"name_en, name_th",Betagen Fermented Milk 400ml,Bilingual display support
15,Inventory Management,Inventory Availability,Products Table,Column,Barcode,13-digit EAN barcode,VARCHAR(13),Direct,inv_master_stock,item_id,885000000001,Standard product barcode
16,Inventory Management,Inventory Availability,Products Table,Column,Brand,Product brand name,VARCHAR(255),Direct,pim_master_product_brand,brand_name,"Oishi, Dutch Mill, Betagro",Brand classifier
17,Inventory Management,Inventory Availability,Products Table,Column,Item Type,Product unit type (Pack/Weight),VARCHAR(50),Fixed value,pim_master_product_base_info,is_sold_by_weight,"Pack, Weight, Pack Weight, Normal",Icon display based on type
18,Inventory Management,Inventory Availability,Products Table,Column,Config,Stock configuration type,VARCHAR(50),Direct,inv_master_stock,config,"In stock, Low stock, Out of stock",Stock status label
19,Inventory Management,Inventory Availability,Products Table,Column,Stock Status Badge,Visual indicator of stock status,VARCHAR(50),Logic,inv_master_stock,stock_on_hand,In Stock (42 units),Color-coded status badge
20,Inventory Management,Inventory Availability,Products Table,Column,Available / Total,Stock quantity breakdown,INTEGER / INTEGER,Logic,inv_master_stock,stock_on_hand / total_stock,42/52,Available units / Total units format
21,Inventory Management,Inventory Availability,Products Table,Column,Action Icons,"Action buttons (expand, more options)",N/A,N/A,N/A,product_id,N/A,UI controls for row actions
