No,Module,Page,Sub-Page,Session,Field,Description,DataType,Mapping_Type,Mapping_APIs_Database_Table,Mapping_Field_Name,Sample_Value,Remark
1,Inventory Management,Inventory - by Store,Page Header,Header,Page Title,Store-specific inventory page title,VARCHAR(255),Logic,"Derived from store context, inv_master_stock",page_title,"Inventory - Tops Central World",Dynamic title based on selected store
2,Inventory Management,Inventory - by Store,Page Header,Header,Back to Store Overview,Button to return to Stock Card page,N/A,N/A,N/A,back_button,N/A,Navigation button to /inventory-new/stores
3,Inventory Management,Inventory - by Store,Page Header,Header,Store Badge,Active store name indicator,VARCHAR(255),Direct,master_locations,location_name,Tops Central World,Shows selected store context
4,Inventory Management,Inventory - by Store,Page Header,Header,Export Button,Export inventory data,N/A,N/A,N/A,export_button,N/A,Exports table data to CSV/Excel
5,Inventory Management,Inventory - by Store,KPI Cards,Summary Metrics,Total Products,Total products in selected store,INT,Direct,pim_master_product_base_info,COUNT(product_id),7,KPI card with Package icon
6,Inventory Management,Inventory - by Store,KPI Cards,Summary Metrics,Low Stock,Products below safety threshold,INT,Logic,inv_master_stock,COUNT(WHERE stock_on_hand < safety_stock),0,KPI card with Clock icon (yellow)
7,Inventory Management,Inventory - by Store,KPI Cards,Summary Metrics,Out of Stock,Products with zero stock,INT,Logic,inv_master_stock,COUNT(WHERE stock_on_hand = 0),0,KPI card with AlertTriangle icon (red)
8,Inventory Management,Inventory - by Store,Tab Navigation,Tabs,All Products Tab,View all products for store,VARCHAR(50),Fixed value,inv_master_stock,status,All,Shows all store products
9,Inventory Management,Inventory - by Store,Tab Navigation,Tabs,Low Stock Tab,View low stock products for store,VARCHAR(50),Fixed value,inv_master_stock,status,Low Stock,Filters to stock_on_hand < safety_stock
10,Inventory Management,Inventory - by Store,Tab Navigation,Tabs,Out of Stock Tab,View out of stock products for store,VARCHAR(50),Fixed value,inv_master_stock,status,Out of Stock,Filters to stock_on_hand = 0
11,Inventory Management,Inventory - by Store,Search Filters,Product Search,Search Product Name,Search by product name,VARCHAR(256),Logic,pim_master_product_base_info,name_th LIKE OR name_en LIKE,Betagen,Multi-language search
12,Inventory Management,Inventory - by Store,Search Filters,Product Search,Search Barcode,Search by product barcode,VARCHAR(13),Direct,inv_master_stock,item_id,885000000001,13-digit barcode search
13,Inventory Management,Inventory - by Store,Search Filters,Dropdown Filters,Item Type Filter,Filter by item type,VARCHAR(50),Fixed value,pim_master_product_base_info,is_sold_by_weight,"weight, pack, pack_weight, normal",Dropdown with predefined types
14,Inventory Management,Inventory - by Store,Search Filters,Dropdown Filters,Stock Config Filter,Filter by configuration status,VARCHAR(50),Direct,inv_master_stock,config,"valid, invalid",Stock configuration dropdown
15,Inventory Management,Inventory - by Store,Search Filters,Dropdown Filters,Brand Filter,Filter by product brand,VARCHAR(255),Direct,pim_master_product_brand,brand_name,Oishi,Dynamically populated brands
16,Inventory Management,Inventory - by Store,Results Table,Column,Product Image,Product thumbnail in table,VARCHAR(256),Direct,pim_master_product_base_info,image_url,https://cdn.../product.jpg,80px width thumbnail
17,Inventory Management,Inventory - by Store,Results Table,Column,Product Name,Product name in table,VARCHAR(256),Direct,pim_master_product_base_info,name_en,Betagen Fermented Milk 400ml,Sortable - clickable row
18,Inventory Management,Inventory - by Store,Results Table,Column,Barcode,Product barcode/SKU,VARCHAR(13),Direct,inv_master_stock,item_id,885000000001,Sortable - monospace font
19,Inventory Management,Inventory - by Store,Results Table,Column,Brand,Product brand,VARCHAR(255),Direct,pim_master_product_brand,brand_name,Oishi,Sortable - hidden on mobile
20,Inventory Management,Inventory - by Store,Results Table,Column,Item Type,Product unit type with icon,VARCHAR(50),Fixed value,pim_master_product_base_info,is_sold_by_weight,"weight, pack, pack_weight, normal",Icon: Scale for weight; Package for others
21,Inventory Management,Inventory - by Store,Results Table,Column,Channel,Distribution channel indicator,VARCHAR(50),Direct,inv_master_stock,channels,TOL,Hidden on mid-screen breakpoint
22,Inventory Management,Inventory - by Store,Results Table,Column,Config,Stock configuration status,VARCHAR(50),Direct,inv_master_stock,config,Valid,Checkmark if valid - hidden on LG
23,Inventory Management,Inventory - by Store,Results Table,Column,Available / Total,Stock quantity display,VARCHAR(50),Logic,inv_master_stock,"available_stock / total_stock",42/52,Sortable - color-coded availability
24,Inventory Management,Inventory - by Store,Results Table,Column,Action Icon,Row expansion indicator,N/A,N/A,N/A,action_icon,ChevronRight,Indicates clickable row
25,Inventory Management,Inventory - by Store,Results Table,Pagination,Results Count,Filtered product count display,VARCHAR(100),Logic,N/A,results_count,"Showing 7 of 7 products",Footer count display
26,Inventory Management,Inventory - by Store,Results Table,Row Behavior,Row Click Navigation,Product row click action,VARCHAR(500),Logic,N/A,row_click_target,"/inventory-new/{productId}?store={storeName}",Entire row clickable - navigates to product detail
27,Inventory Management,Inventory - by Store,Page Interactions,Sorting,Sortable Columns,Columns supporting sort operations,VARCHAR(100),Fixed value,N/A,sortable_columns,"Product Name, Barcode, Brand, Item Type, Available/Total",Click header to toggle sort
28,Inventory Management,Inventory - by Store,Page Interactions,Table Styling,Row Alternating Background,Visual row alternation,VARCHAR(50),Fixed value,N/A,row_bg_alternation,"bg-muted/30 on odd rows, normal on even",Improves readability
29,Inventory Management,Inventory - by Store,Page Interactions,Table Styling,Row Hover Effect,Mouse over row effect,VARCHAR(50),Fixed value,N/A,row_hover_effect,"hover:bg-muted/50 transition-colors cursor-pointer",Interactive visual feedback
